epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,237.135,2.25902,2.2161,2.58418,0.4635,0.34361,0.33925,0.11862,2.12744,2.18569,2.55926,0.0011882,0.0011882,0.0011882
43,241.946,2.251,2.21016,2.55167,0.28037,0.33921,0.26855,0.10021,2.05984,2.22744,2.52317,0.0011684,0.0011684,0.0011684
44,246.441,2.22829,2.25934,2.53584,0.30781,0.37885,0.24906,0.07768,2.26103,2.55213,2.6183,0.0011486,0.0011486,0.0011486
45,251.904,2.24757,2.3526,2.63573,0.36127,0.40969,0.33923,0.11963,2.18321,2.22602,2.54823,0.0011288,0.0011288,0.0011288
46,258.595,2.21246,2.22998,2.54262,0.40101,0.39648,0.35012,0.13373,2.02194,2.20393,2.44389,0.001109,0.001109,0.001109
47,262.853,2.12024,2.22386,2.50809,0.40132,0.31597,0.30791,0.12735,2.08812,2.62681,2.52439,0.0010892,0.0010892,0.0010892
48,267.107,2.16556,2.23751,2.51838,0.42207,0.26432,0.28349,0.10456,2.30386,2.93281,2.74789,0.0010694,0.0010694,0.0010694
49,273.619,2.20054,2.19727,2.51302,0.23738,0.26872,0.18867,0.06325,2.25558,3.32489,2.69212,0.0010496,0.0010496,0.0010496
50,279.028,2.17442,2.24607,2.51645,0.25574,0.39648,0.31176,0.11599,2.14656,2.40914,2.54815,0.0010298,0.0010298,0.0010298
51,283.356,2.12384,2.14339,2.45168,0.48823,0.42291,0.42137,0.17108,2.04377,1.99342,2.42014,0.00101,0.00101,0.00101
52,288.201,2.17952,2.193,2.52268,0.43898,0.38326,0.35557,0.12238,2.14276,2.16823,2.56132,0.0009902,0.0009902,0.0009902
53,295.416,2.16697,2.1018,2.50238,0.42208,0.37004,0.36965,0.15429,1.97141,2.14945,2.4113,0.0009704,0.0009704,0.0009704
54,302.501,2.14121,2.19401,2.5239,0.48973,0.44493,0.41628,0.14744,2.0084,2.01555,2.42923,0.0009506,0.0009506,0.0009506
55,306.61,2.12063,2.10207,2.44496,0.48272,0.44493,0.417,0.16084,2.01801,1.92482,2.43069,0.0009308,0.0009308,0.0009308
56,311.776,2.1498,2.07542,2.43032,0.52717,0.36346,0.42109,0.16286,2.05282,2.12391,2.49178,0.000911,0.000911,0.000911
57,318.611,2.127,2.05786,2.44439,0.4876,0.32159,0.34594,0.12725,2.07449,2.20005,2.51819,0.0008912,0.0008912,0.0008912
58,323.157,2.14451,2.04722,2.44247,0.47145,0.40088,0.40418,0.14443,2.1193,2.05599,2.51754,0.0008714,0.0008714,0.0008714
59,327.269,2.0937,2.07,2.44914,0.54753,0.46256,0.44524,0.17612,2.07155,1.9805,2.46413,0.0008516,0.0008516,0.0008516
60,333.309,2.11309,2.08668,2.43367,0.52216,0.37548,0.42509,0.15752,2.04171,2.14516,2.45459,0.0008318,0.0008318,0.0008318
61,339.44,2.11075,2.1284,2.45707,0.54875,0.44465,0.45745,0.17754,1.99153,1.99644,2.40466,0.000812,0.000812,0.000812
62,343.642,2.05318,1.95585,2.39049,0.55139,0.47137,0.51768,0.21143,1.96329,1.90404,2.35013,0.0007922,0.0007922,0.0007922
63,347.883,2.05837,2.00868,2.3991,0.62437,0.52423,0.54567,0.2375,1.88368,1.86349,2.28622,0.0007724,0.0007724,0.0007724
64,355.333,2.08251,2.12913,2.42069,0.49319,0.51542,0.47101,0.18935,1.97486,1.92279,2.34283,0.0007526,0.0007526,0.0007526
65,359.972,2.08965,2.05367,2.38966,0.54976,0.45721,0.48472,0.21074,1.91389,1.96512,2.28145,0.0007328,0.0007328,0.0007328
66,364.055,2.04096,1.97954,2.34157,0.43736,0.53304,0.46081,0.21011,1.9284,1.95802,2.2861,0.000713,0.000713,0.000713
67,369.772,2.08948,2.05902,2.36188,0.44983,0.53744,0.45481,0.19801,1.92211,1.92509,2.29214,0.0006932,0.0006932,0.0006932
68,376.47,2.01426,1.94186,2.32467,0.62272,0.52423,0.53186,0.23892,1.88591,1.7786,2.25084,0.0006734,0.0006734,0.0006734
69,380.831,2.06229,1.97787,2.35699,0.57934,0.47323,0.48157,0.20614,1.99395,1.91909,2.35905,0.0006536,0.0006536,0.0006536
70,384.914,2.00645,1.89543,2.28529,0.54607,0.51542,0.50898,0.22809,1.91695,1.8033,2.28276,0.0006338,0.0006338,0.0006338
71,392.108,2.05917,2.01446,2.37526,0.61216,0.51542,0.55999,0.24122,1.88864,1.76126,2.25819,0.000614,0.000614,0.000614
72,396.848,1.98979,1.90252,2.30166,0.53274,0.47577,0.48645,0.21544,1.91854,1.78569,2.28865,0.0005942,0.0005942,0.0005942
73,401.161,2.02902,2.03415,2.35223,0.50908,0.44934,0.4383,0.1996,1.91751,1.78702,2.30819,0.0005744,0.0005744,0.0005744
74,406.269,1.99911,1.89875,2.28225,0.53439,0.48458,0.50009,0.22281,1.86377,1.76524,2.28258,0.0005546,0.0005546,0.0005546
75,412.684,2.03791,1.93272,2.33482,0.59324,0.53327,0.54367,0.23688,1.86158,1.76088,2.27694,0.0005348,0.0005348,0.0005348
76,417.094,1.9575,2.04136,2.30139,0.58565,0.51982,0.53973,0.24112,1.837,1.75626,2.24626,0.000515,0.000515,0.000515
77,421.379,1.96048,1.96309,2.30634,0.64134,0.53567,0.57982,0.25751,1.7884,1.73516,2.207,0.0004952,0.0004952,0.0004952
78,428.18,1.98655,1.89898,2.28715,0.63257,0.54185,0.59258,0.26328,1.77019,1.71366,2.18896,0.0004754,0.0004754,0.0004754
79,433.282,1.94874,1.86537,2.2666,0.63404,0.55507,0.61313,0.27119,1.77057,1.69968,2.1926,0.0004556,0.0004556,0.0004556
80,437.855,1.95851,1.80374,2.27919,0.66346,0.57318,0.62632,0.28005,1.78066,1.6726,2.18133,0.0004358,0.0004358,0.0004358
81,443.024,1.9219,1.84493,2.26519,0.62523,0.59031,0.62077,0.29316,1.71097,1.62927,2.13694,0.000416,0.000416,0.000416
82,449.858,1.97709,1.90779,2.26761,0.64302,0.56828,0.59912,0.28085,1.74632,1.6282,2.15968,0.0003962,0.0003962,0.0003962
